HTAG,B365H,HomeTeam,HTHG,FTHG,B365D,HTR,FTR,AwayTeam,FTAG,Date,B365A
0,2.25,Empoli,0,0,3.2,D,A,Verona,1,19/08/2023,3.3
2,8.5,Frosinone,1,1,5.0,A,A,Napoli,3,19/08/2023,1.36
3,3.4,Genoa,0,1,3.25,A,A,Fiorentina,4,19/08/2023,2.2
0,1.4,Inter,1,2,5.0,H,H,Monza,0,19/08/2023,7.0
1,1.53,Roma,1,2,4.0,D,D,Salernitana,2,20/08/2023,6.5
0,3.5,Sassuolo,0,0,3.4,D,A,Atalanta,2,20/08/2023,2.1
1,3.6,Lecce,0,2,3.3,A,H,Lazio,1,20/08/2023,2.1
3,4.33,Udinese,0,0,3.6,A,A,Juventus,3,20/08/2023,1.83
0,1.67,Torino,0,0,3.75,D,D,Cagliari,0,21/08/2023,5.25
2,4.0,Bologna,0,0,3.4,A,A,Milan,2,21/08/2023,1.95
0,5.0,Frosinone,2,2,4.0,H,H,Atalanta,1,26/08/2023,1.67
0,1.91,Monza,1,2,3.5,H,H,Empoli,0,26/08/2023,4.2
1,1.65,Milan,3,4,3.8,H,H,Torino,1,26/08/2023,5.0
0,4.33,Verona,2,2,3.5,H,H,Roma,1,26/08/2023,1.83
0,1.57,Fiorentina,2,2,4.2,H,D,Lecce,2,27/08/2023,5.75
1,1.5,Juventus,0,1,4.5,A,D,Bologna,1,27/08/2023,6.0
1,1.55,Lazio,0,0,4.0,A,A,Genoa,1,27/08/2023,6.0
0,1.33,Napoli,1,2,5.5,H,H,Sassuolo,0,27/08/2023,8.5
0,2.7,Salernitana,0,1,3.2,D,D,Udinese,1,28/08/2023,2.63
2,7.5,Cagliari,0,0,4.5,A,A,Inter,2,28/08/2023,1.44
0,2.0,Sassuolo,1,3,3.6,H,H,Verona,1,01/09/2023,3.75
1,2.8,Roma,0,1,3.1,A,A,Milan,2,01/09/2023,2.63
1,1.7,Bologna,0,2,3.75,A,H,Cagliari,1,02/09/2023,5.0
0,1.8,Udinese,0,0,3.6,D,D,Frosinone,0,02/09/2023,4.5
0,1.62,Atalanta,2,3,4.0,H,H,Monza,0,02/09/2023,5.25
1,1.62,Napoli,1,1,4.0,D,A,Lazio,2,02/09/2023,5.5
0,1.65,Inter,1,4,3.8,H,H,Fiorentina,0,03/09/2023,5.25
0,2.0,Torino,0,1,3.3,D,H,Genoa,0,03/09/2023,4.0
1,5.25,Empoli,0,0,3.8,A,A,Juventus,2,03/09/2023,1.67
0,2.0,Lecce,1,2,3.3,H,H,Salernitana,0,03/09/2023,4.0
0,1.91,Juventus,2,3,3.4,H,H,Lazio,1,16/09/2023,4.33
0,2.15,Inter,2,5,3.5,H,H,Milan,1,16/09/2023,3.4
0,5.5,Genoa,1,2,3.8,H,D,Napoli,2,16/09/2023,1.67
0,2.88,Cagliari,0,0,3.3,D,D,Udinese,0,17/09/2023,2.5
2,2.8,Frosinone,1,4,3.4,A,H,Sassuolo,2,17/09/2023,2.5
1,2.1,Monza,1,1,3.4,D,D,Lecce,1,17/09/2023,3.5
1,2.38,Fiorentina,2,3,3.5,H,H,Atalanta,2,17/09/2023,2.88
0,1.44,Roma,3,7,4.5,H,H,Empoli,0,17/09/2023,7.5
2,3.6,Salernitana,0,0,3.25,A,A,Torino,3,18/09/2023,2.2
0,3.1,Verona,0,0,3.3,D,D,Bologna,0,18/09/2023,2.38
1,2.5,Salernitana,0,1,3.2,A,D,Frosinone,1,22/09/2023,2.9
0,2.45,Lecce,0,1,3.2,D,H,Genoa,0,22/09/2023,3.1
0,1.36,Milan,1,1,4.75,H,H,Verona,0,23/09/2023,9.0
1,4.0,Sassuolo,2,4,4.0,H,H,Juventus,2,23/09/2023,1.8
1,1.8,Lazio,1,1,3.8,D,D,Monza,1,23/09/2023,4.2
0,9.0,Empoli,0,0,5.25,D,A,Inter,1,24/09/2023,1.33
0,1.4,Atalanta,1,2,5.0,H,H,Cagliari,0,24/09/2023,8.0
1,3.2,Udinese,0,0,3.5,A,A,Fiorentina,2,24/09/2023,2.25
0,3.75,Bologna,0,0,3.6,D,D,Napoli,0,24/09/2023,1.91
0,3.1,Torino,0,1,2.9,D,D,Roma,1,24/09/2023,2.6
0,1.5,Juventus,0,1,4.2,D,H,Lecce,0,26/09/2023,7.0
2,5.25,Cagliari,1,1,3.8,A,A,Milan,3,27/09/2023,1.67
0,2.3,Empoli,1,1,3.3,H,H,Salernitana,0,27/09/2023,3.2
1,4.2,Verona,0,0,3.75,A,A,Atalanta,1,27/09/2023,1.83
0,1.33,Inter,1,1,5.5,H,A,Sassuolo,2,27/09/2023,8.0
0,2.15,Lazio,0,2,3.25,D,H,Torino,0,27/09/2023,3.5
0,1.36,Napoli,2,4,5.0,H,H,Udinese,1,27/09/2023,8.5
1,3.75,Frosinone,0,1,3.6,A,D,Fiorentina,1,28/09/2023,1.95
0,2.38,Monza,0,0,3.3,D,D,Bologna,0,28/09/2023,3.0
1,3.8,Genoa,2,4,3.25,H,H,Roma,1,28/09/2023,2.05
1,4.75,Lecce,0,0,3.8,A,A,Napoli,4,30/09/2023,1.75
0,1.73,Milan,0,2,3.6,D,H,Lazio,0,30/09/2023,5.0
0,8.0,Salernitana,0,0,4.75,D,A,Inter,4,30/09/2023,1.4
0,1.62,Bologna,1,3,4.0,H,H,Empoli,0,01/10/2023,5.5
2,2.38,Udinese,1,2,3.1,A,D,Genoa,2,01/10/2023,3.2
0,2.5,Atalanta,0,0,3.4,D,D,Juventus,0,01/10/2023,2.8
0,1.44,Roma,1,2,4.2,H,H,Frosinone,0,01/10/2023,8.0
0,2.25,Sassuolo,0,0,3.75,D,A,Monza,1,02/10/2023,2.88
0,1.85,Torino,0,0,3.5,D,D,Verona,0,02/10/2023,4.33
0,1.5,Fiorentina,2,3,4.2,H,H,Cagliari,0,02/10/2023,7.0
0,3.1,Empoli,0,0,3.25,D,D,Udinese,0,06/10/2023,2.38
1,2.55,Lecce,0,1,3.4,A,D,Sassuolo,1,06/10/2023,2.7
1,1.36,Inter,2,2,5.5,H,D,Bologna,2,07/10/2023,7.5
0,1.91,Juventus,0,2,3.3,D,H,Torino,0,07/10/2023,4.33
0,4.2,Genoa,0,0,3.5,D,A,Milan,1,07/10/2023,1.91
